Date,Open,High,Low,Close,Volume,Dividend,Split,Adj Open,Adj High,Adj Low,Adj Close,Adj Volume
10/13/2014,92.88,92.94,90.4313,90.6,7378868,0,1,81.99801357,82.05098386,79.83620762,79.98514243,7378868
10/10/2014,93.23,93.86,92.54,92.55,6349941,0,1,82.30700694,82.86319502,81.69784857,81.70667695,6349941
10/9/2014,93.91,94.79,93.02,93.07,6674794,0,1,82.90733693,83.68423456,82.12161092,82.16575283,6674794
10/8/2014,92.57,94.16,92.24,94.09,6619266,0,1,81.72433372,83.12804648,81.43299711,83.06624781,6619266
10/7/2014,93.04,93.56,92.44,92.47,5030738,0,1,82.13926768,82.59834355,81.60956475,81.6360499,5030738
10/6/2014,93.72,94.25,93.06,93.26,4952151,0,1,82.73959767,83.20750192,82.15692445,82.33349209,4952151
10/3/2014,92.52,93.68,92.335,93.54,6200290,0,1,81.68019181,82.70428414,81.51686674,82.58068679,6200290
10/2/2014,91.31,92.46,91.07,92.24,5991202,0,1,80.61195757,81.62722152,80.40007639,81.43299711,5991202
10/1/2014,92.14,92.34,90.92,91.02,5970715,0,1,81.34471329,81.52128093,80.26765066,80.35593448,5970715
9/30/2014,93.03,93.21,91.4,91.74,6774201,0,1,82.1304393,82.28935018,80.69141301,80.991578,6774201
9/29/2014,92.37,93.17,91.95,92.88,3894623,0,1,81.54776608,82.25403665,81.17697402,81.99801357,3894623
9/26/2014,92.29,93,91.8,92.84,4572090,0,1,81.47713902,82.10395415,81.04454829,81.96270004,4572090
9/25/2014,92.8,93,91.55,91.9,4934711,0,1,81.92738651,82.10395415,80.82383874,81.13283211,4934711
9/24/2014,91.68,93.11,91.3501,93.02,6379689,0,1,80.93860771,82.20106636,80.64735938,82.12161092,6379689
9/23/2014,91.79,92.22,91.45,91.49,5821024,0,1,81.03571991,81.41534034,80.73555492,80.77086844,5821024
9/22/2014,91.98,92.42,91.68,91.89,5206670,0,1,81.20345917,81.59190799,80.93860771,81.12400373,5206670
9/19/2014,92.85,93.75,92.2,92.34,12498800,0,1,81.97152842,82.76608281,81.39768358,81.52128093,12498800
9/18/2014,91.83,92.44,91.2,92.09,6025100,0,1,81.07103344,81.60956475,80.51484536,81.30057137,6025100
9/17/2014,90.63,91.54,89.94,91.22,7068800,0,1,80.01162758,80.81501036,79.40246921,80.53250213,7068800
9/16/2014,89.27,90.74,88.53,90.27,5045100,0,1,78.8109676,80.10873978,78.15766732,79.69380582,5045100
9/15/2014,89.18,89.54,88.6,89.38,3935000,0,1,78.73151216,79.04933392,78.219466,78.90807981,3935000
9/12/2014,89.38,89.5,88.46,88.84,4593700,0,1,78.90807981,79.01402039,78.09586865,78.43134717,4593700
9/11/2014,89.07,89.42,88.62,89.22,4537800,0,1,78.63439996,78.94339334,78.23712276,78.76682569,4537800
9/10/2014,88.66,89.4,88.33,89.25,6245400,0,1,78.27243629,78.92573657,77.98109968,78.79331084,6245400
9/9/2014,90.21,90.33,88.775,88.93,8103000,0,1,79.64083553,79.74677611,78.37396269,78.51080261,8103000
9/8/2014,91.38,91.78,90.57,90.82,4885900,0,1,80.67375624,81.02689153,79.95865729,80.17936684,4885900
9/5/2014,89.66,91.64,89.2809,91.61,7746400,0,1,79.15527451,80.90329418,78.82059054,80.87680903,7746400
9/4/2014,89,90.75,89,89.93,8452200,0,1,78.57260129,80.11756816,78.57260129,79.39364083,8452200
9/3/2014,91.11,91.31,88.98,89,15410400,0,1,80.43538992,80.61195757,78.55494452,78.57260129,15410400
9/2/2014,93.04,93.31,89.85,91.15,20753200,0.47,1,82.13926768,82.377634,79.32301377,80.47070345,20753200
8/29/2014,92.74,93.52,92.61,93.5,7672200,0,1,81.45440993,82.13949123,81.34022972,82.12192505,7672200
8/28/2014,91.4,92.73,91.27,92.51,7575700,0,1,80.27747539,81.44562684,80.16329518,81.25239878,7575700
8/27/2014,91.68,91.96,91.311,91.87,4320200,0,1,80.52340201,80.76932863,80.19930586,80.69028079,4320200
8/26/2014,90.98,91.83,90.9,91.63,5396400,0,1,79.90858546,80.65514842,79.83832071,80.47948654,5396400
8/25/2014,91.25,91.82,90.95,91.2,7328700,0,1,80.14572899,80.64636532,79.88223618,80.10181352,7328700
8/22/2014,90.74,91.33,90.65,91.03,6939200,0,1,79.69779122,80.21599374,79.61874337,79.95250093,6939200
8/21/2014,90.68,91.808,90.67,91.15,8315900,0,1,79.64509265,80.63582561,79.63630956,80.05789805,8315900
8/20/2014,88.17,91.07,88.08,90.75,13394200,0,1,77.44053616,79.9876333,77.36148832,79.70657431,13394200
8/19/2014,86.9,88.99,86.57,88.23,18244600,0,1,76.32508328,78.16074984,76.03524119,77.49323473,18244600
8/18/2014,84.21,84.62,83.293,83.59,9475300,0,1,73.9624311,74.32253794,73.15702142,73.4178793,9475300
8/15/2014,84.035,84.09,82.845,83.69,5383500,0,1,73.80872696,73.85703398,72.76353883,73.50571024,5383500
8/14/2014,83.09,83.965,82.74,83.86,4923000,0,1,72.97872462,73.74724531,72.67131635,73.65502283,4923000
8/13/2014,82.98,83.385,82.74,83.12,4498700,0,1,72.88211059,73.23782588,72.67131635,73.0050739,4498700
8/12/2014,82.75,83.09,82.68,82.92,3657100,0,1,72.68009944,72.97872462,72.61861778,72.82941203,3657100
8/11/2014,82.61,83.07,82.5,82.88,3952000,0,1,72.55713613,72.96115843,72.4605221,72.79427966,3952000
8/8/2014,81.07,82.46,80.88,82.43,7226500,0,1,71.20453972,72.42538972,71.03766094,72.39904044,7226500
8/7/2014,80.75,81.07,80.29,80.47,4045900,0,1,70.92348072,71.20453972,70.51945842,70.6775541,4045900
8/6/2014,79.94,81.02,79.85,80.52,4228200,0,1,70.21205014,71.16062425,70.1330023,70.72146957,4228200
8/5/2014,79.78,80.86,79.78,80.03,5895500,0,1,70.07152064,71.02009475,70.07152064,70.29109798,5895500
8/4/2014,79.7,80.25,79.66,80.03,7025000,0,1,70.00125589,70.48432604,69.96612352,70.29109798,7025000
8/1/2014,80.56,81.08,79.74,79.75,8708000,0,1,70.75660194,71.21332281,70.03638827,70.04517136,8708000
7/31/2014,81.09,81.58,80.85,80.85,5748900,0,1,71.2221059,71.65247749,71.01131166,71.01131166,5748900
7/30/2014,81.5,81.85,81.07,81.76,5807300,0,1,71.58221274,71.88962102,71.20453972,71.81057317,5807300
7/29/2014,81.21,81.81,80.89,80.98,4536500,0,1,71.32750303,71.85448864,71.04644403,71.12549187,4536500
7/28/2014,81.2,81.34,80.66,81.07,3441600,0,1,71.31871993,71.44168324,70.84443288,71.20453972,3441600
7/25/2014,81.1,81.3,80.89,81.03,4680100,0,1,71.230889,71.40655087,71.04644403,71.16940734,4680100
7/24/2014,81.19,81.54,80.89,81.2,4359600,0,1,71.30993684,71.61734511,71.04644403,71.31871993,4359600
7/23/2014,80.46,81.09,80.21,81.02,3669200,0,1,70.66877101,71.2221059,70.44919367,71.16062425,3669200
7/22/2014,80.36,80.75,80.2,80.54,6336100,0,1,70.58094007,70.92348072,70.44041057,70.73903576,6336100
7/21/2014,80.01,80.03,79.525,79.71,4112800,0,1,70.2735318,70.29109798,69.84755176,70.01003899,4112800
7/18/2014,79.8,80.28,79.45,80.08,5323200,0,1,70.08908683,70.51067532,69.78167855,70.33501345,5323200
7/17/2014,79.45,79.88,79.23,79.55,7697647,0,1,69.78167855,70.15935158,69.5884505,69.86950949,7697647
7/16/2014,80.04,80.24,79.38,79.66,9033700,0,1,70.29988108,70.47554295,69.7201969,69.96612352,9033700
7/15/2014,79.5,80.06,79.42,79.86,6051900,0,1,69.82559402,70.31744726,69.75532927,70.14178539,6051900
7/14/2014,79.92,80.06,79.19,79.46,7657200,0,1,70.19448395,70.31744726,69.55331812,69.79046165,7657200
7/11/2014,79.59,79.9,79.21,79.61,4746400,0,1,69.90464187,70.17691777,69.57088431,69.92220805,4746400
7/10/2014,79.05,79.58,77.95,79.4,11530900,0,1,69.43035481,69.89585877,68.46421452,69.73776309,11530900
7/9/2014,81.11,81.23,80.175,80.73,6980600,0,1,71.23967209,71.34506921,70.41845284,70.90591453,6980600
7/8/2014,81.42,81.53,80.55,80.76,7322900,0,1,71.51194799,71.60856202,70.74781885,70.93226381,7322900
7/7/2014,81.73,82.09,81.14,81.42,6071000,0,1,71.78422389,72.10041526,71.26602137,71.51194799,6071000
7/3/2014,82.07,82.35,81.8,82.05,2764000,0,1,72.08284907,72.3287757,71.84570555,72.06528289,2764000
7/2/2014,81.84,82.18,81.62,81.98,4185700,0,1,71.88083792,72.1794631,71.68760986,72.00380123,4185700
7/1/2014,81.32,81.97,81.22,81.82,5234600,0,1,71.42411706,71.99501814,71.33628612,71.86327174,5234600
6/30/2014,81.02,81.23,80.48,80.96,5045300,0,1,71.16062425,71.34506921,70.68633719,71.10792569,5045300
6/27/2014,80.65,81.47,80.63,81.13,5011000,0,1,70.83564979,71.55586346,70.8180836,71.25723828,5011000
6/26/2014,80.45,80.97,80.12,80.75,5165200,0,1,70.65998791,71.11670878,70.37014583,70.92348072,5165200
6/25/2014,80.36,80.61,80.12,80.53,4486300,0,1,70.58094007,70.80051741,70.37014583,70.73025266,4486300
6/24/2014,80.38,80.83,79.83,80.43,5579300,0,1,70.59850626,70.99374547,70.11543611,70.64242173,5579300
6/23/2014,80.16,80.8,79.97,80.64,4920400,0,1,70.4052782,70.96739619,70.23839942,70.82686669,4920400
6/20/2014,80.69,80.8,79.86,80.17,13661000,0,1,70.87078216,70.96739619,70.14178539,70.41406129,13661000
6/19/2014,80.71,80.85,79.95,80.44,5095400,0,1,70.88834835,71.01131166,70.22083323,70.65120482,5095400
6/18/2014,80.03,80.76,79.79,80.71,8071500,0,1,70.29109798,70.93226381,70.08030374,70.88834835,8071500
6/17/2014,78.84,80.46,78.73,80.02,9587300,0,1,69.24590985,70.66877101,69.14929582,70.28231489,9587300
6/16/2014,77.96,79.09,77.96,78.9,7164400,0,1,68.47299761,69.46548719,68.47299761,69.29860841,7164400
6/13/2014,78.49,78.59,77.75,78.07,7971800,0,1,68.93850157,69.02633251,68.28855265,68.56961164,7971800
6/12/2014,79.73,79.78,78.2,78.43,7643300,0,1,70.02760518,70.07152064,68.68379186,68.88580301,7643300
6/11/2014,80.46,80.73,79.76,79.81,4918100,0,1,70.66877101,70.90591453,70.05395446,70.09786992,4918100
6/10/2014,80.26,80.85,80.22,80.74,4249500,0,1,70.49310914,71.01131166,70.45797676,70.91469763,4249500
6/9/2014,80.63,81.32,80.42,80.61,3718600,0,1,70.8180836,71.42411706,70.63363863,70.80051741,3718600
6/6/2014,80.58,81.27,80.51,80.64,4460300,0,1,70.77416813,71.38020159,70.71268648,70.82686669,4460300
6/5/2014,80.67,80.86,80.28,80.38,5666400,0,1,70.85321597,71.02009475,70.51067532,70.59850626,5666400
6/4/2014,80.32,80.89,80.06,80.54,4961600,0,1,70.5458077,71.04644403,70.31744726,70.73903576,4961600
6/3/2014,80.19,80.88,80.15,80.67,5477700,0.47,1,70.43162748,71.03766094,70.39649511,70.85321597,5477700
6/2/2014,80.25,81.06,80.17,80.84,6817700,0,1,70.07604858,70.78335823,70.00619084,70.59124944,6817700
5/30/2014,79.77,80.27,79.58,80.23,4528000,0,1,69.65690212,70.09351302,69.49098998,70.05858414,4528000
5/29/2014,79.88,79.99,79.44,79.9,4408900,0,1,69.75295652,69.84901092,69.36873893,69.77042095,4408900
5/28/2014,79.75,80,79.27,79.68,4002200,0,1,69.63943769,69.85774313,69.22029123,69.57831216,4002200
5/27/2014,79.38,80,79.3,79.69,4760600,0,1,69.31634562,69.85774313,69.24648788,69.58704438,4760600
5/23/2014,78.77,79.4,78.51,79.18,5003100,0,1,68.78368033,69.33381006,68.55664267,69.14170127,5003100
5/22/2014,77.76,79.05,77.76,78.78,5265900,0,1,67.90172633,69.02818243,67.90172633,68.79241255,5265900
5/21/2014,78.25,78.51,77.75,78.08,6693900,0,1,68.329605,68.55664267,67.89299411,68.1811573,6693900
5/20/2014,77.92,78.82,77.4,77.96,15432200,0,1,68.04144181,68.82734142,67.58736648,68.07637068,15432200
5/19/2014,76.58,77.07,76.37,76.5,7733800,0,1,66.87132461,67.29920329,66.68794804,66.80146687,7733800
5/16/2014,76.79,77.37,76.6576,77.36,7039400,0,1,67.05470119,67.56116983,66.93908662,67.55243761,7039400
5/15/2014,76.05,76.29,75.32,76.24,6304700,0,1,66.40851707,66.6180903,65.77106516,66.57442921,6304700
5/14/2014,77.33,77.37,76.17,76.31,6870000,0,1,67.52624096,67.56116983,66.51330368,66.63555473,6870000
5/13/2014,78.36,78.675,77.04,77.27,5455500,0,1,68.4256594,68.70072426,67.27300664,67.47384765,5455500
5/12/2014,77.82,78.44,77.7506,78.27,4324200,0,1,67.95411963,68.49551714,67.89351804,68.34706944,4324200
5/9/2014,77.06,77.75,76.81,77.71,4345800,0,1,67.29047107,67.89299411,67.07216563,67.85806524,4345800
5/8/2014,76.94,77.73,76.66,77.05,5485100,0,1,67.18568446,67.87552967,66.94118236,67.28173885,5485100
5/7/2014,77.85,77.96,76.52,77.08,5378600,0,1,67.98031629,68.07637068,66.81893131,67.30793551,5378600
5/6/2014,78.64,78.755,77.35,77.42,6475800,0,1,68.6701615,68.77058201,67.54370539,67.60483092,6475800
5/5/2014,79.04,79.18,78.56,78.69,3521000,0,1,69.01945022,69.14170127,68.60030376,68.71382259,3521000
5/2/2014,79.32,80.16,79.155,79.4,3738400,0,1,69.26395232,69.99745862,69.11987072,69.33381006,3738400
5/1/2014,79.51,79.65,78.95,79.33,3936700,0,1,69.42986446,69.55211551,68.94086025,69.27268453,3936700
4/30/2014,79.74,79.74,78.73,79.51,8524700,0,1,69.63070547,69.63070547,68.74875146,69.42986446,8524700
4/29/2014,80.32,80.32,79.52,79.52,5146500,0,1,70.13717411,70.13717411,69.43859667,69.43859667,5146500
